,Datetime,Permalink,Text,Username,Favorites,Retweets,Geo,Hashtags,Engagements,Polarity,Subjectivity,NB-Positive Probability,NB-Negative Probability,NB-Sentiment Score
52,2020-08-31 17:54:32+00:00,https://twitter.com/christ_bodyof/status/1300492182114140162,Officials Say Floyd Overdosed #TrumpTerroism,christ_bodyof,0,0,,#TrumpTerroism,0,0.0,0.0,0.9691091918584,0.0308908081415987,0.9382183837168013
53,2020-08-31 16:50:10+00:00,https://twitter.com/AmericasLegacy/status/1300475982445453316,Defund Violent Criminal Cop Gangs @latimes @SacramentoNews George Floyd Comprehensive Police Reform Act @BBCWorld @BBCAfrica @BBCSport,AmericasLegacy,0,0,,,0,-0.6000000000000001,0.775,0.9550193388656799,0.04498066113431993,0.9100386777313599
54,2020-08-31 15:41:34+00:00,https://twitter.com/Just_pinkfloyd/status/1300458720317468673,"So, so you think you can tell Heaven from Hell, blue skies from pain. Can you tell a green field from a cold steel rail? A smile from a veil? Do you think you can tell?",Just_pinkfloyd,2046,665,,,2711,-0.125,0.375,0.02387009198417092,0.9761299080158273,-0.9522598160316564
55,2020-08-31 13:55:05+00:00,https://twitter.com/FloydSchoolsVA/status/1300431919302217730,We are grateful for our #floydschools community and the efforts you are making to keep everyone safe. We will continue to be open and as transparent as possible when communicating COVID related news. pic.twitter.com/atB4oQkB1x,FloydSchoolsVA,1,2,,#floydschools,3,0.125,0.6,0.7911964657102876,0.2088035342897151,0.5823929314205725
56,2020-08-31 13:36:20+00:00,https://twitter.com/RealSH42/status/1300427202018922498,This is where you will find us today... #MyPinkFloyd https://open.spotify.com/playlist/5qobnqeHnciPzEN4nXTWV8?si=YsHECS31R0iUGsU8r1i8eg #NowPlaying,RealSH42,0,0,,#MyPinkFloyd #NowPlaying,0,0.0,0.0,0.5441132663086768,0.45588673369131893,0.08822653261735791
57,2020-08-31 13:29:13+00:00,https://twitter.com/saribethrose/status/1300425411889954817,"25 million+ Americans have marched in #BlackLivesmatter protests since the murder of George Floyd, with barely any violence whatsoever. What you are seeing right now is #TrumpViolence #TrumpRiots #TrumpChaos - don’t let him &amp; the @GOP gaslight you into thinking otherwise!",saribethrose,649,330,,#BlackLivesmatter #BlackLivesmatter #TrumpViolence #TrumpRiots #TrumpChaos,979,0.16785714285714284,0.31785714285714284,0.39617775849705167,0.6038222415029467,-0.20764448300589505
58,2020-08-31 13:16:51+00:00,https://twitter.com/FrankAmari2/status/1300422298093203457,"Black Lives Matter. Every one. Friday, on the steps of the Lincoln Memorial: ""I wish George were here to see this right now."" - Philonise Floyd ",FrankAmari2,72,2,,,74,0.05952380952380952,0.4845238095238095,0.02504682293796008,0.9749531770620392,-0.9499063541240791
59,2020-08-31 13:12:13+00:00,https://twitter.com/shopmarfemme/status/1300421134404464640,"Starting the week off fall inspired thanks to this beauty alex.floyd We love how she styled our ""Cuter Than Your Bestie"" set Who's ready for a new season? #TapToShop #shopsmall https://www.instagram.com/p/CEjg7LvlXJq/?igshid=1guefh3ixhfqi",shopmarfemme,0,0,,#TapToShop #shopsmall,0,0.25909090909090904,0.43863636363636366,0.8551361802821099,0.14486381971789267,0.7102723605642173
60,2020-08-31 13:07:03+00:00,https://twitter.com/johnpavlovitz/status/1300419832668717057,"The guy who drove into a crowd in Charlottesville wasn't ""100% Antifa."" Or the guy who murdered people in a church in Charleston. Or the Parkland shooter. Or the cop who knelt on George Floyd's neck. Or Kyle Rittenhouse. Maybe you're MAGA frauds for pretending to care today.",johnpavlovitz,8659,2870,,,11529,0.0,0.0,0.9533160690233567,0.046683930976648184,0.9066321380467086
61,2020-08-31 13:03:30+00:00,https://twitter.com/JamesFl18395111/status/1300418938925445120,"I will be signing copies of my Galactic Warriors series in Honolulu, Hawaii, December 25-28 at the Hyatt Place Waikiki Beach",JamesFl18395111,0,0,,,0,0.0,0.0,0.4464707883037829,0.553529211696213,-0.10705842339243016
62,2020-08-31 12:37:42+00:00,https://twitter.com/BFloyd971/status/1300412447619190786,It’s Gator’s favorite day of the year - first day photo day.. @DougAndGator971 .. that means we get a photo of #Lois,BFloyd971,0,0,,#Lois,0,0.375,0.6666666666666666,0.10659079239968235,0.8934092076003173,-0.7868184152006349
63,2020-08-31 11:58:13+00:00,https://twitter.com/steve_sps/status/1300402509354274816,"23 years ago today we sadly lost Princess Diana.. ""I don't go by the rule book... I lead from the heart, not the head."" ...Princess Diana, who died in a car crash in Paris on this day 1997. #PrincessDiana #RIPDiana",steve_sps,1902,486,,#PrincessDiana #RIPDiana,2388,-0.5,1.0,0.1814884907541181,0.8185115092458856,-0.6370230184917675
64,2020-08-31 11:55:16+00:00,https://twitter.com/the_comrade_ty/status/1300401767247687682,Virgin Orwell vs. Chad Pink Floyd ,the_comrade_ty,264,42,,,306,-0.1,0.3,0.9550193388656893,0.04498066113430952,0.9100386777313798
65,2020-08-31 11:44:35+00:00,https://twitter.com/RitaHis/status/1300399078128398340,"This isn't new. Listen to the George Floyd tape. There is a woman screaming that she is a first responder, that the officer was killing him and begging to help. Just because they aren't lining up people at the gas chamber doesn't mean this isn't a genocide.",RitaHis,3373,574,,,3947,0.024621212121212117,0.4917929292929293,0.011520667045285567,0.9884793329547177,-0.9769586659094321
66,2020-08-31 11:39:57+00:00,https://twitter.com/nocontextfIoyd/status/1300397913089224711,no context pink floyd ,nocontextfIoyd,43,5,,,48,-0.1,0.3,0.8385643851581176,0.16143561484188185,0.6771287703162358
67,2020-08-31 11:28:39+00:00,https://twitter.com/Just_pinkfloyd/status/1300395070038835200,"Every year is getting shorter, never seem to find the time...",Just_pinkfloyd,498,132,,,630,0.0,0.0,0.0033040572458175083,0.9966959427541814,-0.9933918855083639
68,2020-08-31 09:30:36+00:00,https://twitter.com/ABC/status/1300365363411025926,"Officer charged in George Floyd's death argues drug overdose killed him, not knee on neck. ",ABC,607,234,,,841,-0.2,0.0,0.43968712700472457,0.5603128729952735,-0.12062574599054898
69,2020-08-31 09:20:26+00:00,https://twitter.com/naturalbornthr4/status/1300362803405094913,"In a few days, Derek Michael Chauvin, will be freed and murder charges dropped. @MayorFrey must be held accountable. George Floyd's death was a direct result of broken campaign promises to fix the Minneapolis Police Department. Guilt must be placed where it belongs. @GovTimWalz",naturalbornthr4,0,0,,,0,-0.16666666666666666,0.3,0.04472666736911533,0.955273332630892,-0.9105466652617766
70,2020-08-31 09:40:57+00:00,https://twitter.com/shmarty50/status/1300367967910277120,"The whole country is a crime scene due to your presidency and administration. And where is your RIP to George Floyd? Breonna Taylor, the Parkland students who lost their lives? #PutinsPuppet #mafiadon",shmarty50,0,0,,#PutinsPuppet #mafiadon,0,0.037500000000000006,0.3875,0.8203544777441631,0.1796455222558402,0.640708955488323
71,2020-08-31 09:35:25+00:00,https://twitter.com/natsuwugumi/status/1300366573677535232,IMAGINE IF WE GOT THE VIL OR FLOYD EVENT ANNOUNCEMENT BETWEEN ALL THIS TOO... HA.... HA..HA.......... ,natsuwugumi,19,1,,,20,0.2,0.3,0.9938967028660343,0.006103297133966673,0.9877934057320676
72,2020-08-31 08:36:40+00:00,https://twitter.com/Official_rhip/status/1300351789720629249,"Pink Floyd In Piccadilly Circus, London. ",Official_rhip,163,34,,,197,-0.1,0.3,0.9471791705356997,0.05282082946429838,0.8943583410714013
73,2020-08-31 07:32:47+00:00,https://twitter.com/ZTmhp6eu/status/1300335710512193538,"#nowplaying: ""Money"" by Pink Floyd ",ZTmhp6eu,8,0,,#nowplaying,8,-0.1,0.3,0.8831572734760631,0.11684272652393779,0.7663145469521253
74,2020-08-31 07:10:03+00:00,https://twitter.com/SaigonRuby/status/1300329990458875905,#NowPlaying King Floyd - Groove Me ,SaigonRuby,0,0,,#NowPlaying,0,0.0,0.0,0.8354251265056842,0.16457487349431574,0.6708502530113685
75,2020-08-31 05:45:25+00:00,https://twitter.com/MisterFoldy/status/1300308691762081792,Remembering exactly three years ago when we had no idea if anyone was going to like our game about Chloe Price. #LifeIsStrange,MisterFoldy,710,66,,#LifeIsStrange,776,-0.07500000000000001,0.325,0.3064036615891235,0.6935963384108773,-0.3871926768217538
76,2020-08-31 05:35:23+00:00,https://twitter.com/Spectre_Bazza/status/1300306167273529344,Now do George Floyd? ,Spectre_Bazza,0,0,,,0,0.0,0.0,0.5395633395453346,0.4604366604546676,0.07912667909066706
77,2020-08-31 05:34:34+00:00,https://twitter.com/Spectre_Bazza/status/1300305961576550400,Cool story. Now to George Floyd. ,Spectre_Bazza,0,0,,,0,0.35,0.65,0.39200719358639885,0.6079928064135992,-0.21598561282720036
78,2020-08-31 04:48:10+00:00,https://twitter.com/ericfloyd275/status/1300294284722274306,"Round 2 / Day 12 #22pushupchallenge￼￼￼￼￼￼ raising awareness for the 22 US veterans who commit suicide daily. If you are a Veteran in crisis or concerned about one, please use the resources below. Veterans… https://www.instagram.com/p/CEinMP2jdXP/?igshid=1de4box65rexx",ericfloyd275,0,0,,#22pushupchallenge,0,-0.06666666666666667,0.13333333333333333,0.44516313117112843,0.5548368688288712,-0.10967373765774274
79,2020-08-31 03:28:36+00:00,https://twitter.com/garnerroad/status/1300274259701489665, BREONNA TAYLOR! GEORGE FLOYD! BLM! STOP KILLING US! UNITY! HATE WON'T WIN! ,garnerroad,14,0,,,14,0.0,0.65,0.3435701984664609,0.6564298015335388,-0.3128596030670779
80,2020-08-31 03:28:00+00:00,https://twitter.com/BleacherReport/status/1300274109260075008,"“Even though these people are gone they give me life, they help me find strength to keep fight in this world."" Jamal Murray on his shoes honoring George Floyd and Breonna Taylor ",BleacherReport,6643,1310,,,7953,0.0,0.0,0.02744634966929869,0.9725536503306975,-0.9451073006613988
